"Protein_ID"
"XBmRNA39801|XBXL10_1g21498"
"XBmRNA26944|XBXL10_1g14281"
"XBmRNA21229|XBXL10_1g11311"
"XBmRNA37785|XBXL10_1g20542"
"XBmRNA67877|XBXL10_1g35915"
"XBmRNA35209|XBXL10_1g19074"
"XBmRNA68559|XBXL10_1g36208"
"XBmRNA50755|XBXL10_1g27102"
"XBmRNA50763|XBXL10_1g27108"
"XBmRNA37892|XBXL10_1g20609"
"XBmRNA39714|XBXL10_1g21455"
"XBmRNA10959|XBXL10_1g5853"
"XBmRNA23821|XBXL10_1g12696"
"XBmRNA18807|XBXL10_1g10064"
"XBmRNA78003|XBXL10_1g41333"
"XBmRNA5107|XBXL10_1g2863"
"XBmRNA39075|XBXL10_1g21099"
"XBmRNA13925|XBXL10_1g7391"
"XBmRNA20802|XBXL10_1g11052"
"XBmRNA24511|XBXL10_1g12943"
"XBmRNA52442|XBXL10_1g27935"
"XBmRNA23315|XBXL10_1g12467"
"XBmRNA64816|XBXL10_1g34348"
"XBmRNA51197|XBXL10_1g27325"
"XBmRNA17727|XBXL10_1g9503"
"XBmRNA10209|XBXL10_1g5470"
"XBmRNA35014|XBXL10_1g18990"
"XBmRNA18257|XBXL10_1g9759"
"XBmRNA5249|XBXL10_1g2936"
"XBmRNA14190|XBXL10_1g7552"
"XBmRNA34536|XBXL10_1g18735"
"XBmRNA77406|XBXL10_1g41026"
"XBmRNA57331|XBXL10_1g30435"
"XBmRNA35012|XBXL10_1g18988"
"XBmRNA43209|XBXL10_1g23195"
"XBmRNA3220|XBXL10_1g1810"
"XBmRNA19144|XBXL10_1g10235"
"XBmRNA58361|XBXL10_1g30902"
"XBmRNA23542|XBXL10_1g12575"
"XBmRNA24308|XBXL10_1g12864"
"XBmRNA34882|XBXL10_1g18930"
"XBmRNA72658|XBXL10_1g38465"
"XBmRNA68782|XBXL10_1g36395"
"XBmRNA26868|XBXL10_1g14242"
"XBmRNA36470|XBXL10_1g19714"
"XBmRNA10469|XBXL10_1g5584"
"XBmRNA80294|XBXL10_1g42707"
"XBmRNA12203|XBXL10_1g6511"
"XBmRNA66488|XBXL10_1g35220"
"XBmRNA35013|XBXL10_1g18989"
"XBmRNA14034|XBXL10_1g7446"
"XBmRNA63034|XBXL10_1g33408"
"XBmRNA67821|XBXL10_1g35898"
"XBmRNA34720|XBXL10_1g18831"
"XBmRNA40867|XBXL10_1g21994"
"XBmRNA36936|XBXL10_1g19961"
"XBmRNA7594|XBXL10_1g4126"
"XBmRNA1722|XBXL10_1g1102"
"XBmRNA76940|XBXL10_1g40827"
"XBmRNA1930|XBXL10_1g1194"
"XBmRNA57488|XBXL10_1g30521"
"XBmRNA55219|XBXL10_1g29383"
"XBmRNA35380|XBXL10_1g19136"
"XBmRNA8149|XBXL10_1g4381"
"XBmRNA16227|XBXL10_1g8603"
"XBmRNA56923|XBXL10_1g30235"
"XBmRNA6595|XBXL10_1g3605"
"XBmRNA46002|XBXL10_1g24613"
"XBmRNA36996|XBXL10_1g19995"
"XBmRNA80539|XBXL10_1g42842"
"XBmRNA18273|XBXL10_1g9770"
"XBmRNA19229|XBXL10_1g10285"
"XBmRNA11798|XBXL10_1g6289"
"XBmRNA77180|XBXL10_1g40906"
"XBmRNA82642|XBXL10_1g43919"
"XBmRNA66462|XBXL10_1g35205"
"XBmRNA71933|XBXL10_1g38062"
"XBmRNA55293|XBXL10_1g29412"
"XBmRNA70358|XBXL10_1g37277"
"XBmRNA35397|XBXL10_1g19143"
"XBmRNA83035|XBXL10_1g44154"
"XBmRNA56981|XBXL10_1g30266"
"XBmRNA1968|XBXL10_1g1220"
"XBmRNA30722|XBXL10_1g16360"
"XBmRNA80768|XBXL10_1g42972"
"XBmRNA70963|XBXL10_1g37585"
"XBmRNA82329|XBXL10_1g43735"
"XBmRNA47382|XBXL10_1g25372"
"XBmRNA78850|XBXL10_1g41890"
"XBmRNA1724|XBXL10_1g1104"
"XBmRNA59042|XBXL10_1g31212"
"XBmRNA626|XBXL10_1g582"
"XBmRNA437|XBXL10_1g420"
"XBmRNA3532|XBXL10_1g1984"
"XBmRNA5836|XBXL10_1g3223"
"XBmRNA67934|XBXL10_1g35937"
"XBmRNA60856|XBXL10_1g32304"
"XBmRNA58138|XBXL10_1g30805"
"XBmRNA73463|XBXL10_1g38923"
"XBmRNA76188|XBXL10_1g40496"
"XBmRNA65567|XBXL10_1g34688"
"XBmRNA3457|XBXL10_1g1945"
"XBmRNA46003|XBXL10_1g24614"
"XBmRNA70294|XBXL10_1g37250"
"XBmRNA57164|XBXL10_1g30346"
"XBmRNA50011|XBXL10_1g26752"
"XBmRNA28953|XBXL10_1g15498"
"XBmRNA42640|XBXL10_1g22887"
"XBmRNA42491|XBXL10_1g22810"
"XBmRNA49207|XBXL10_1g26329"
"XBmRNA56694|XBXL10_1g30123"
"XBmRNA48584|XBXL10_1g25972"
"XBmRNA56795|XBXL10_1g30178"
"XBmRNA22975|XBXL10_1g12294"
"XBmRNA64291|XBXL10_1g34086"
"XBmRNA16046|XBXL10_1g8479"
